Usage Type,Requests-INT-Tier2($),USE1-PaidS3DataEventsAnalyzed($),NodeUsage:cache.r6g.large($),Requests-Tier1($),Requests-Tier2($),InstanceUsage:db.t3.medium($),InstanceUsage:db.r5.large($),Aurora:ServerlessUsage($),USE1-DataScannedInTB($),QS-User-Enterprise-Month($),WriteCapacityUnit-Hrs($),SoftwareUsage:t3.large($),NatGateway-Hours($),LoadBalancerUsage($),InstanceUsage:db.r4.xlarge($),USE1-CW:Canary-runs($),USE1-InsightsEvents($),APS3-ESInstance:t3.medium($),USE1-AWSSecretsManager-Secrets($),QS-Reader-Capacity-500-Pack($),us-east-1-KMS-Keys($),TimedStorage-ByteHrs($),CW:AlarmMonitorUsage($),EBS:VolumeP-IOPS.piops($),USE1-AmazonEKS-Hours:perCluster($),NodeUsage:cache.t2.micro($),USE1-PaidEventsAnalyzed($),EBS:VolumeUsage.gp2($),ReadCapacityUnit-Hrs($),Storage-ShardHour($),ElasticIP:IdleAddress($),USE1-DetectPiiEntities($),ConfigurationItemRecorded($),USE1-PaidDataInventoryEvaluation($),USE1-Fargate-vCPU-Hours:perCPU($),USE1-DataProcessing-Bytes($),ESInstance:t3.small($),DashboardsUsageHour-Basic($),StorageIOUsage($),CW:MetricMonitorUsage($),Requests-INT-Tier1($),EBS:VolumeUsage.piops($),USE1-DataEventsRecorded($),USE1-PaidEventsRecorded($),USE1-DocClassifier-Storage($),USE1-StorageLens-ObjCount($),USE1-Fargate-GB-Hours($),USE1-TimedStorage-ByteHrs($),Aurora:StorageIOUsage($),USE1-PaidComplianceCheck($),EBS:SnapshotUsage($),QS-User-Standard-Month($),HostedZone($),StorageUsage($),USE1-Notebk:VolumeUsage.gp2($),APS3-ES:GP2-Storage($),USE1-PhoneNumber-Tollfree($),BackupUsage($),USE1-QS-Enterprise-SPICE($),Lambda-GB-Second($),DNS-Queries($),CW:Requests($),USE2-TimedStorage-ByteHrs($),ES:GP2-Storage($),us-east-1-KMS-Requests($),DataTransfer-Regional-Bytes($),USE1-APIRequest($),USE1-BuildDuration($),DeliveryAttempts-HTTP($),USE1-PaidEventsAnalyzed-Bytes($),DataTransfer-Out-Bytes($),BoxUsage:t2.micro($),IN-DataTransfer-Out-Bytes($),US-DataTransfer-Out-Bytes($),USW1-ConfigurationItemRecorded($),USE1-Change-API-Requests-Tier1($),USE1-StateTransition($),Invalidations($),USE1-ConfigRuleEvaluations($),TimedStorage-INT-FA-ByteHrs($),USE1-DataStorage($),USE1-GraphQLInvocation($),APS3-PaidEventsRecorded($),USE1-CognitoUserPoolsMAU($),USE1-AWSSecretsManagerAPIRequest($),NatGateway-Bytes($),USE1-S3-Egress-Bytes($),EUW2-PaidEventsRecorded($),USE2-PaidEventsRecorded($),USW2-PaidEventsRecorded($),EU-PaidEventsRecorded($),USW1-PaidEventsRecorded($),EUW3-PaidEventsRecorded($),USE1-Catalog-Request($),EUC1-PaidEventsRecorded($),APN1-PaidEventsRecorded($),APS2-PaidEventsRecorded($),CAN1-PaidEventsRecorded($),APN2-PaidEventsRecorded($),APS1-PaidEventsRecorded($),EUN1-PaidEventsRecorded($),SAE1-PaidEventsRecorded($),APN3-ConfigurationItemRecorded($),USE2-ConfigurationItemRecorded($),APS3-ConfigurationItemRecorded($),USE1-DetectEntities($),APN1-ConfigurationItemRecorded($),APN2-ConfigurationItemRecorded($),APS1-ConfigurationItemRecorded($),APS2-ConfigurationItemRecorded($),CAN1-ConfigurationItemRecorded($),EU-ConfigurationItemRecorded($),EUC1-ConfigurationItemRecorded($),EUN1-ConfigurationItemRecorded($),EUW2-ConfigurationItemRecorded($),EUW3-ConfigurationItemRecorded($),SAE1-ConfigurationItemRecorded($),USW2-ConfigurationItemRecorded($),APN3-PaidEventsRecorded($),DeliveryAttempts-SMTP($),Request($),Redshift:PaidSnapshots($),BoxUsage:t2.medium($),Aurora:BackupUsage($),USE1-Catalog-Storage($),Aurora:StorageUsage($),TagStorage-TagHrs($),LCUUsage($),US-Requests-Tier2-HTTPS($),IN-Requests-Tier2-HTTPS($),USW1-InsightsEvents($),CW:GMD-Metrics($),APS3-InsightsEvents($),EUN1-InsightsEvents($),CAN1-InsightsEvents($),APN1-InsightsEvents($),EUW2-InsightsEvents($),APN2-InsightsEvents($),EU-InsightsEvents($),USE2-InsightsEvents($),APS1-InsightsEvents($),APS3-DataTransfer-Regional-Bytes($),USE1-Event-64K-Chunks($),USE1-ApiGatewayRequest($),USW2-InsightsEvents($),EUW3-InsightsEvents($),APS2-InsightsEvents($),USE1-DataScanned-Bytes($),SAE1-InsightsEvents($),EUC1-InsightsEvents($),USE1-SyncTextPagesProcessed($),USE1-DataTransferOut($),us-east-2-KMS-Requests($),USE1-XRay-TracesStored($),StorageAnalytics-ObjCount($),Recipients-EC2($),WriteRequestUnits($),us-west-2-KMS-Requests($),APS3-Requests-Tier2($),USE1-DetectDominantLanguage($),USE1-DetectKeyPhrases($),USE1-DetectSentiment($),APS3-DataTransfer-Out-Bytes($),ap-south-1-KMS-Requests($),CPUCredits:t3($),OnDemand-StreamHour($),USW2-AWSSecretsManagerAPIRequest($),APN1-AWSSecretsManagerAPIRequest($),APN2-AWSSecretsManagerAPIRequest($),APS1-AWSSecretsManagerAPIRequest($),APS2-AWSSecretsManagerAPIRequest($),APS3-AWSSecretsManagerAPIRequest($),CAN1-AWSSecretsManagerAPIRequest($),EU-AWSSecretsManager-APIRequests($),EUC1-AWSSecretsManagerAPIRequest($),EUN1-AWSSecretsManagerAPIRequest($),EUW2-AWSSecretsManagerAPIRequest($),EUW3-AWSSecretsManagerAPIRequest($),SAE1-AWSSecretsManagerAPIRequest($),USE2-AWSSecretsManagerAPIRequest($),USW1-AWSSecretsManagerAPIRequest($),APN3-AWSSecretsManagerAPIRequest($),USE1-Binary-Size-In-Bytes($),USE1-USW2-AWS-Out-Bytes($),eu-west-1-KMS-Requests($),us-west-1-KMS-Requests($),eu-central-1-KMS-Requests($),USE1-DetectSyntax($),USE1-APS1-AWS-Out-Bytes($),USE1-EU-AWS-Out-Bytes($),USE1-EUC1-AWS-Out-Bytes($),USE1-APS3-AWS-Out-Bytes($),USE1-FaceVectorsStored($),EU-CW:Requests($),EUC1-CW:Requests($),EUN1-CW:Requests($),EUW2-CW:Requests($),EUW3-CW:Requests($),USE1-EUW2-AWS-Out-Bytes($),USE2-CW:Requests($),CAN1-CW:Requests($),USW1-CW:Requests($),USW2-CW:Requests($),USE1-USW1-AWS-Out-Bytes($),USE1-EUW3-AWS-Out-Bytes($),USE1-APS2-AWS-Out-Bytes($),USE1-APN1-AWS-Out-Bytes($),USE1-SAE1-AWS-Out-Bytes($),USE1-CAN1-AWS-Out-Bytes($),USE1-APN2-AWS-Out-Bytes($),USE1-EUN1-AWS-Out-Bytes($),USE1-USE2-AWS-Out-Bytes($),USW1-DeliveryAttempts-HTTP($),APS3-DetectDominantLanguage($),APS3-DetectEntities($),APS3-DetectKeyPhrases($),APS3-DetectPiiEntities($),APS3-DetectSentiment($),EU-Requests-Tier1($),USE1-APN3-AWS-Out-Bytes($),USW1-Requests-Tier1($),EU-DeliveryAttempts-HTTP($),USW2-Requests-Tier1($),USW2-DeliveryAttempts-HTTP($),ap-southeast-1-KMS-Requests($),ap-southeast-2-KMS-Requests($),ca-central-1-KMS-Requests($),eu-west-2-KMS-Requests($),eu-west-3-KMS-Requests($),eu-north-1-KMS-Requests($),sa-east-1-KMS-Requests($),ap-northeast-2-KMS-Requests($),APS3-CW:Requests($),ap-northeast-3-KMS-Requests($),EU-DataTransfer-Out-Bytes($),Requests-RBP($),APS3-DetectSyntax($),EUC1-DeliveryAttempts-HTTP($),APS3-USE1-AWS-Out-Bytes($),USE2-DeliveryAttempts-HTTP($),US-Requests-HTTPS-Proxy($),CAN1-DeliveryAttempts-HTTP($),APN3-InsightsEvents($),USE1-OC-API-Requests-Tier1($),IN-Requests-HTTPS-Proxy($),USE1-XRay-TracesAccessed($),Recipients($),USW1-DataTransfer-Out-Bytes($),EUC1-DataTransfer-Out-Bytes($),USE2-DataTransfer-Out-Bytes($),CAN1-DataTransfer-Out-Bytes($),EUW2-DataTransfer-Out-Bytes($),USE1-GraphQLNotification($),USW2-DataTransfer-Out-Bytes($),APS1-DeliveryAttempts-HTTP($),APS2-DeliveryAttempts-HTTP($),ap-northeast-1-KMS-Requests($),USE1-DataTransfer-xAZ-In-Bytes($),EUN1-DeliveryAttempts-HTTP($),EUN1-DataTransfer-Out-Bytes($),EUW3-DataTransfer-Out-Bytes($),EUW2-DeliveryAttempts-HTTP($),SAE1-DeliveryAttempts-HTTP($),APN1-DeliveryAttempts-HTTP($),APS3-DeliveryAttempts-HTTP($),EUW3-DeliveryAttempts-HTTP($),ME-DataTransfer-Out-Bytes($),APN2-DeliveryAttempts-HTTP($),USE2-Catalog-Storage($),APS3-APS1-AWS-Out-Bytes($),AP-DataTransfer-Out-Bytes($),USE1-APE1-AWS-Out-Bytes($),USE1-AFS1-AWS-Out-Bytes($),USE1-MES1-AWS-Out-Bytes($),USE1-EUS1-AWS-Out-Bytes($),APS3-TimedStorage-ByteHrs($),EUC1-TimedStorage-ByteHrs($),CA-Requests-Tier2-HTTPS($),EU-Requests-Tier2-HTTPS($),APS2-DataTransfer-Out-Bytes($),IN-Requests-Tier1($),APS3-Requests-Tier1($),APS1-DataTransfer-Out-Bytes($),US-Requests-Tier1($),APN1-Requests-Tier1($),APN2-Requests-Tier1($),CAN1-Requests-Tier1($),EUW3-Requests-Tier1($),SAE1-Requests-Tier1($),USE2-Requests-Tier1($),APS1-Requests-Tier1($),APS2-Requests-Tier1($),EUC1-Requests-Tier1($),EUN1-Requests-Tier1($),EUW2-Requests-Tier1($),ReadRequestUnits($),SAE1-DataTransfer-Out-Bytes($),Monitoring-Automation-INT($),APN3-Requests-Tier1($),USE1-ContainsPiiEntities($),APS3-APN1-AWS-Out-Bytes($),APN1-DataTransfer-Out-Bytes($),AU-DataTransfer-Out-Bytes($),APN2-DataTransfer-Out-Bytes($),ME-Requests-Tier2-HTTPS($),APN3-DataTransfer-Out-Bytes($),IN-DataTransfer-Out-OBytes($),APS3-USW1-AWS-Out-Bytes($),EU-TimedStorage-ByteHrs($),CA-DataTransfer-Out-Bytes($),USE1-APS4-AWS-Out-Bytes($),APS3-USE2-AWS-Out-Bytes($),APS3-ContainsPiiEntities($),APS3-USW2-AWS-Out-Bytes($),EUW2-TimedStorage-ByteHrs($),APS3-EUW2-AWS-Out-Bytes($),AU-Requests-Tier2-HTTPS($),Request-ARM($),USE1-ApiGatewayHttpRequest($),JP-Requests-Tier2-HTTPS($),USW2-TimedStorage-ByteHrs($),APS1-TimedStorage-ByteHrs($),US-DataTransfer-Out-OBytes($),APS3-EUW3-AWS-Out-Bytes($),USE1-ConnectionDuration($),APS3-APS2-AWS-Out-Bytes($),APS3-EUN1-AWS-Out-Bytes($),APS3-SAE1-AWS-Out-Bytes($),APS3-EU-AWS-Out-Bytes($),APS3-APN2-AWS-Out-Bytes($),APS3-CAN1-AWS-Out-Bytes($),APS3-EUC1-AWS-Out-Bytes($),AP-Requests-Tier2-HTTPS($),APS3-APN3-AWS-Out-Bytes($),ME-Requests-Tier1($),CA-Requests-Tier1($),USE1-TimedBackupStorage-ByteHrs($),PutRequestPayloadUnits($),USW1-TimedStorage-ByteHrs($),USE1-Streams-Requests($),JP-DataTransfer-Out-Bytes($),USE1-DEN1-AWS-Out-Bytes($),APS3-AFS1-AWS-Out-Bytes($),APS3-BOS1-AWS-Out-Bytes($),APS3-DEN1-AWS-Out-Bytes($),APS3-IAH1-AWS-Out-Bytes($),APS3-MCI2-AWS-Out-Bytes($),APS3-MSP1-AWS-Out-Bytes($),APS3-PHL1-AWS-Out-Bytes($),APS3-MES1-AWS-Out-Bytes($),Select-Scanned-Bytes($),APS3-APE1-AWS-Out-Bytes($),USE1-UGW1-AWS-Out-Bytes($),Select-Returned-Bytes($),APN1-Catalog-Storage($),APN1-DataTransfer-In-Bytes($),APN1-FreeEventsRecorded($),APN2-DataTransfer-In-Bytes($),APN2-FreeEventsRecorded($),APN3-DataTransfer-In-Bytes($),APN3-DeliveryAttempts-HTTP($),APN3-FreeEventsRecorded($),APS1-DataTransfer-In-Bytes($),APS1-FreeEventsRecorded($),APS2-DataTransfer-In-Bytes($),APS2-FreeEventsRecorded($),APS3-AFS1-AWS-In-Bytes($),APS3-APE1-AWS-In-Bytes($),APS3-APN1-AWS-In-Bytes($),APS3-APN3-AWS-In-Bytes($),APS3-APS1-AWS-In-Bytes($),APS3-APS2-AWS-In-Bytes($),APS3-BOS1-AWS-In-Bytes($),APS3-DEN1-AWS-In-Bytes($),APS3-DataTransfer-In-Bytes($),APS3-EU-AWS-In-Bytes($),APS3-EUW2-AWS-In-Bytes($),APS3-EUW3-AWS-In-Bytes($),APS3-FreeEventsRecorded($),APS3-IAH1-AWS-In-Bytes($),APS3-MCI2-AWS-In-Bytes($),APS3-MES1-AWS-In-Bytes($),APS3-MSP1-AWS-In-Bytes($),APS3-PHL1-AWS-In-Bytes($),APS3-SAE1-AWS-In-Bytes($),APS3-USE1-AWS-In-Bytes($),APS3-USE2-AWS-In-Bytes($),APS3-USW1-AWS-In-Bytes($),APS3-USW2-AWS-In-Bytes($),AWS-Auto-ScriptDuration-Tier3($),AWS-Auto-Steps-Tier1($),BoxUsage:r4.xlarge($),BoxUsage:t3.large($),BoxUsage:t3.medium($),CAN1-DataTransfer-In-Bytes($),CAN1-FreeEventsRecorded($),DataTransfer-In-Bytes($),DeliveryAttempts-LAMBDA($),EU-DataTransfer-In-Bytes($),EU-FreeEventsRecorded($),EUC1-DataTransfer-In-Bytes($),EUC1-FreeEventsRecorded($),EUN1-DataTransfer-In-Bytes($),EUN1-FreeEventsRecorded($),EUW2-DataTransfer-In-Bytes($),EUW2-FreeEventsRecorded($),EUW3-DataTransfer-In-Bytes($),EUW3-FreeEventsRecorded($),Intra-AWS-DNS-Queries($),QS-User-Enterprise-Free-Tier($),Recipients-MailboxSim-EC2($),SAE1-DataTransfer-In-Bytes($),SAE1-FreeEventsRecorded($),USE1-AFS1-AWS-In-Bytes($),USE1-APE1-AWS-In-Bytes($),USE1-APN1-AWS-In-Bytes($),USE1-APN2-AWS-In-Bytes($),USE1-APN3-AWS-In-Bytes($),USE1-APS1-AWS-In-Bytes($),USE1-APS2-AWS-In-Bytes($),USE1-APS3-AWS-In-Bytes($),USE1-APS4-AWS-In-Bytes($),USE1-CAN1-AWS-In-Bytes($),USE1-CloudFront-In-Bytes($),USE1-CloudFront-Out-Bytes($),USE1-EU-AWS-In-Bytes($),USE1-EUC1-AWS-In-Bytes($),USE1-EUN1-AWS-In-Bytes($),USE1-EUS1-AWS-In-Bytes($),USE1-EUW2-AWS-In-Bytes($),USE1-EUW3-AWS-In-Bytes($),USE1-FreeDataAnalyzed-Bytes($),USE1-FreeEventsRecorded($),USE1-MES1-AWS-In-Bytes($),USE1-MacieDailyUsage($),USE1-Notebk:ml.t3.medium($),USE1-OtherProduct:PaidFindingsIngestion($),USE1-SAE1-AWS-In-Bytes($),USE1-SC-API-Calls($),USE1-SecurityHubProduct:FreeFindingsIngestion($),USE1-USE2-AWS-In-Bytes($),USE1-USW1-AWS-In-Bytes($),USE1-USW2-AWS-In-Bytes($),USE2-DataTransfer-In-Bytes($),USE2-FreeEventsRecorded($),USW1-DataTransfer-In-Bytes($),USW1-FreeEventsRecorded($),USW2-DataTransfer-In-Bytes($),USW2-FreeEventsRecorded($),APN1-CW:Requests($),APN2-CW:Requests($),APN3-CW:Requests($),APS1-CW:Requests($),APS2-CW:Requests($),APS3-EUN1-AWS-In-Bytes($),SAE1-CW:Requests($),USE1-DEN1-AWS-In-Bytes($),USE1:PI_API($),Lambda-GB-Second-ARM($),QS-Reader-Capacity-500-Usage($),QS-User-Standard-Free-Tier($),USE1-UGW1-AWS-In-Bytes($),USE1-DataTransfer-xAZ-Out-Bytes($),No Usage Type($),Total cost ($)
Usage Type Total,16687.9963503768,9343.490780762002,1026.543732,690.7918955889999,580.2821540584,566.4587452316999,520.6046675445,315.83968769940003,311.03374462000005,266.9975500473,239.63190550000002,198,168.50376,160.35786,118.0073918533,106.666293602,100.198084805,99.59548000000001,73.4743929312,72.41263325,72.12661218490001,69.18012945359999,67.4549913474,67.2360000873,64.8965385133,63.65697599999999,63.40653051999999,58.09289469789999,46.84926038,38.713863849999996,37.453900000000004,32.9527084,31.929342000000005,30.159318096,29.659695998800004,27.5832893147,17.346888,15.4951450368,14.748886546400001,14.209474363800002,13.64248179,12.929999948099999,12.7103882601,8.91380408,7.758,6.203561285299999,6.115217639400001,4.1394313331,4.021377402000001,3.889344,3.658594833,3.0309031808,2.9307999999999996,2.3418851263,2.0906228072,1.987651485,1.72400004,1.4493087518,1.0927472432,1.0778974532,1.0441809416,0.99299814,0.948919187,0.90348375,0.494502678,0.45946293190000004,0.43962,0.439479494,0.38432821679999996,0.32182733310000006,0.2888154329,0.2799776,0.23191413839999997,0.1792101579,0.178434,0.167955528,0.16423255,0.13361,0.13007580000000002,0.1105263666,0.10446645029999999,0.09506825599999999,0.09147544,0.0877947,0.08223048999999998,0.0818160546,0.0786746681,0.07725244,0.07423544,0.07263212,0.07177012,0.0717184,0.07161496,0.06984872200000002,0.069822,0.06945996,0.0691324,0.06909792,0.06908068,0.06899448,0.06873588,0.06813248,0.06465,0.056892,0.054306,0.0541336,0.049134,0.049134,0.049134,0.049134,0.049134,0.049134,0.049134,0.049134,0.049134,0.049134,0.049134,0.049134,0.04556532,0.04428956,0.0417549352,0.0405259272,0.0399968,0.039873992,0.0380984605,0.0340189353,0.025160378100000002,0.020047240299999998,0.019402757999999996,0.014001638399999999,0.013841996,0.010473299999999998,0.009916879,0.009814301000000001,0.009717756999999999,0.009687587000000001,0.009645349000000001,0.009636298,0.009331581,0.009072119,0.008891099,0.0084571162,0.007949364,0.007672231,0.007141239,0.006963236000000001,0.006948151,0.006664036700000001,0.006236139,0.006181833,0.005172,0.004778962800000001,0.00395658,0.00389193,0.0036587073,0.0034479999999999997,0.0032465075,0.0031161300000000004,0.0029159736,0.0024136,0.0024136,0.0024136,0.0022824100000000003,0.002234304,0.0019340263,0.0017969921,0.0015731500000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015688400000000002,0.0015645299999999997,0.0015514688999999997,0.0015405769,0.001326618,0.001326618,0.00131886,0.0012068,0.0010969132,0.0010626073999999998,0.0010620385000000001,0.0010549051000000001,0.0010438862,0.00098268,0.00098268,0.00098268,0.00098268,0.00098268,0.0009675087,0.0009482000000000001,0.00093096,0.00093096,0.00093096,0.0009220591,0.0009216844,0.0009086417,0.0009064373000000001,0.0009046639000000001,0.0009009854,0.0008984886,0.0008837258,0.0007380878999999999,0.0006185712,0.0006034,0.0006034,0.0006034,0.0006034,0.0006034,0.0005756435999999999,0.0005354792,0.0005161656000000001,0.0005104764,0.0005084938,0.0005047872,0.000442206,0.000442206,0.000442206,0.000442206,0.000442206,0.00043962,0.00043962,0.000385314,0.00037928,0.00037755600000000003,0.00037442840000000003,0.00031411279999999997,0.0003017,0.0002782536,0.0002690519,0.0002606688,0.00022239599999999998,0.00021722399999999997,0.00021119,0.000201708,0.0001903296,0.00018274399999999998,0.0001724,0.00016378549999999999,0.00015254730000000002,0.00015238979999999998,0.00015232700000000003,0.00015140559999999998,0.00014654,0.0001426113,0.0001339548,0.0001339548,0.000131886,0.0001269403,0.000126714,0.00012530649999999998,0.0001249222,0.000124128,0.000124128,0.00012361080000000002,0.0001220592,0.0001179216,0.0001165481,0.0001091292,0.0001036126,0.0001020157,0.0001018985,0.0000997026,0.00009447160000000001,0.0000936459,0.0000935179,0.00008880619999999999,0.00008692940000000001,0.000085338,0.0000817176,0.0000804803,0.0000760284,0.0000739596,0.0000704926,0.00006917550000000001,0.0000610296,0.0000610296,0.0000610296,0.0000610296,0.0000610296,0.0000610296,0.0000606848,0.0000606848,0.0000606848,0.0000606848,0.0000606848,0.000053551600000000004,0.0000534645,0.000052579699999999994,0.000052409599999999994,0.000048272,0.00004360189999999999,0.0000413131,0.0000400419,0.0000374915,0.000036204,0.0000208498,0.0000203723,0.000018936700000000005,0.0000184199,0.000017905899999999997,0.000017294500000000002,0.000014357700000000001,0.000012068,0.000010713,0.000009652700000000002,0.0000090421,0.00000862,0.0000072408,0.000006896,0.0000062064,0.0000050078,0.0000048384,0.0000043818,0.000004168400000000001,0.0000040065,0.0000032902000000000003,0.0000032790000000000003,0.0000032790000000000003,0.0000032766,0.0000032736000000000003,0.0000032736000000000003,0.0000032736000000000003,0.0000031032,0.0000028302000000000004,0.0000023274,0.000001293,9.283000000000001e-7,6.638e-7,4.57e-7,0.0000001724,0.0000001691,8.45e-8,3.66e-8,3.66e-8,3.66e-8,3.66e-8,3.66e-8,3.66e-8,3.66e-8,3.05e-8,0.0000000262,0.0000000054,0.0000000006,0.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32623.246524252798
2021-11-01,16687.9963503768,9313.5159606636,632.333892,463.754307032,572.3744250032,215.2686185327,179.9856,148.9536,311.00512622,62.064000504,34.1379584,198,27.9288,29.75193,118.0073918533,17.853744,57.644663489,65.78784,44.580724428,,12.0009553328,35.3912375545,10.7219929862,11.206000008,62.064,10.55088,24.4905406,29.3970365177,6.83409116,18.6192,6.2064,32.9527084,22.648188,4.770052848,-0.0000000011,25.9316144844,17.346888,2.586000024,10.3362966508,2.4526294648,13.64248179,2.15499996,0.023839472,8.91380408,1.293,1.298046022,-0.0000000009,0.6064728701,1.635434672,3.889344,3.014390427,,0.3448,1.2993437361,1.059605543,1.327479984,,,,0.3753106201,0.0427415804,0.17273618,0.158153241,0.90348375,0.0846915,0.3719700704,0.0862,,0.0555721056,0.1789483607,0.1635869975,0.049996,0.0205576241,0.0341636433,0.131886,0.167955528,0.01463245,0.02155,0.1046468,0.0909184575,,,0.09147544,0.0432293,0.04724191,0.0175285923,0.0606312443,0.07725244,0.07423544,0.07263212,0.07177012,0.0717184,0.07161496,0.049665854,0.069822,0.06945996,0.0691324,0.06909792,0.06908068,0.06899448,0.06873588,0.06813248,0.028446,0.007758,0.005172,0.0541336,0.002586,0.002586,0.002586,0.002586,0.002586,0.002586,0.002586,0.002586,0.002586,0.002586,0.002586,0.002586,0.04556532,0.04428956,0.0136495976,0.006751944,0.0399968,0.0098392938,0.0029738754,0.0137048617,0.0033151942,0.0018159686,0.004356548,0.003010104,0.001001644,0.00588746,0.001028797,0.001004661,0.000962423,0.000950355,0.000971474,0.000986559,0.001164562,0.00096544,0.000968457,0.0025941088,0.007949364,0.005919354,0.000959406,0.000968457,0.00099561,0.0012765363,0.000959406,0.00099561,0.005172,,0.00069822,0.00043531,0.0004196671,0.0013792,,0.000548232,0.0005289232,0.0024136,0.0024136,0.0024136,0,0.0003879,0.0015073794,,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.0002586,0.000258696,0.0002705923,0.00023274,0.00023274,0.00023274,0.0012068,0.0001874763,0.0001618707,0.0001500146,0.0001924683,0.000138782,,,,,,0.0001508225,,,,,0.0001516474,0.0001484618,0.0001463769,0.0001492695,0.0001495956,0.0001572266,0.000148871,0.0001406692,0.0001710345,0.0001505052,0.0006034,0.0006034,0.0006034,0.0006034,0.0006034,0.0001055088,0.0000692301,0.000114646,0.0000972336,0.000101716,0.0000998196,0.00007758,0.00007758,0.00007758,0.00007758,0.00007758,0.00007758,0.00007758,0.00006465,0,0.00001293,0.0000271945,0.0000565472,0.0003017,0.0000460308,0.0001332234,0.0000377556,0.000190502,0.000033618,0.000018102,0.000033618,0.0001820544,0.000036635,0.0001724,0.00004626,0.0000266129,0.0000273955,0.0000266718,0.0000264142,,0.0000248889,0.0000253428,0.0000212052,0,,0.0000144816,0,0,0.000020688,0.000020688,0.000020688,0.0000227568,0.0000144816,0.0000005231,0.0000144816,0.00001728,0.000034464,,0.0000000262,0.0000000065,0.0000000026,,0.000014805,0.000014487,,0.0000124128,0.0000340718,0.0000512028,0.000023274,0.0000347955,0.000021981,0.000010344,0.000010344,0.000010344,0.000010344,0.000010344,0.000010344,0.000010344,0.000010344,0.000010344,0.000010344,0.000010344,,0,0.0000460452,0.000001724,0.000048272,0.0000409043,0,,0,0.0000062064,0,0.0000203723,0.0000032395,0.000003066,,,0.00000495,0.000012068,0.0000051869,0.000001608,0.0000039116,,,0.000006896,,0.000000834,0.000000807,0.0000039245,0.0000014459,,0.0000005926,0.000000576,0.0000005814,0.000000579,0.000000576,0.000000576,0.000000576,,0.0000001204,,,,0.0000006034,0.00000015,,,,0.0000000244,0.0000000244,0.0000000244,0.0000000244,0.0000000244,0.0000000244,0.0000000244,0.0000000244,0.0000000262,0.0000000054,,0.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,29572.8739825682
